usage_count,destination_ip,hostname,timestamp,hop,hop_ip,rtt_ms,bandwidth_mbps
3,142.250.206.110,google.com,2025-04-15 10:50:44,5,14.139.98.1,4.500333,3733.333333
3,142.250.206.110,google.com,2025-04-15 10:50:44,6,10.117.81.253,3.330333,5288.888889
3,142.250.206.110,google.com,2025-04-15 10:50:44,7,10.154.8.137,14.333000,3577.777778
3,142.250.206.110,google.com,2025-04-15 10:50:44,8,10.255.239.170,18.911000,3111.111111
3,142.250.206.110,google.com,2025-04-15 10:50:44,9,10.152.7.214,16.257000,3422.222222
3,142.250.206.110,google.com,2025-04-15 10:50:44,10,142.250.172.80,74.893000,3733.333333
3,142.250.206.110,google.com,2025-04-15 10:50:44,11,72.14.238.215,16.125333,3422.222222
3,142.250.206.110,google.com,2025-04-15 10:50:44,12,192.178.110.104,16.828333,3173.333333
3,142.250.206.110,google.com,2025-04-15 10:50:44,13,172.253.68.121,17.584333,3733.333333
3,142.250.206.110,google.com,2025-04-15 10:50:44,14,108.170.232.203,55.807667,2862.222222
3,142.250.206.110,google.com,2025-04-15 10:50:44,15,72.14.233.106,43.417000,2320.000000
3,142.250.206.110,google.com,2025-04-15 10:50:44,16,192.178.83.207,40.803667,2706.666667
3,142.250.206.110,google.com,2025-04-15 10:50:44,17,142.251.76.193,38.850000,2706.666667
3,142.250.206.110,google.com,2025-04-15 10:50:44,18,142.250.206.110,39.748000,N/A
1,157.240.16.174,instagram.com,2025-04-15 10:53:56,1,172.29.144.1,0.178667,5600.000000
1,157.240.16.174,instagram.com,2025-04-15 10:53:56,2,10.7.0.5,3.269667,3733.333333
1,157.240.16.174,instagram.com,2025-04-15 10:53:56,3,172.16.4.4,3.305000,3733.333333
1,157.240.16.174,instagram.com,2025-04-15 10:53:56,4,14.139.98.1,5.270000,4355.555556
1,157.240.16.174,instagram.com,2025-04-15 10:53:56,5,10.117.81.253,3.097667,4044.444444
1,157.240.16.174,instagram.com,2025-04-15 10:53:56,6,10.154.8.137,14.612333,3017.777778
1,157.240.16.174,instagram.com,2025-04-15 10:53:56,7,10.255.239.170,18.365333,3111.111111
1,157.240.16.174,instagram.com,2025-04-15 10:53:56,8,10.152.7.214,14.910000,3111.111111
1,157.240.16.174,instagram.com,2025-04-15 10:53:56,9,157.240.66.204,18.692667,2862.222222
1,157.240.16.174,instagram.com,2025-04-15 10:53:56,10,129.134.51.80,20.342667,3111.111111
1,157.240.16.174,instagram.com,2025-04-15 10:53:56,11,157.240.58.186,16.125000,2706.666667
1,157.240.16.174,instagram.com,2025-04-15 10:53:56,13,157.240.16.174,15.091000,3266.666667
3,157.240.16.174,instagram.com,2025-04-15 11:04:31,1,172.29.144.1,0.165000,5600.000000
